0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,12,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[1.26 3.27 1.54 2.26 1.29],"Counter({'Misrepair': 4, 'Repair': 1})","[0.2, 0.35061545887196705]","[0.6530508366270611, 0.19190362735638117, 0.24260495827007136, 0.3715867470574701, 0.6270516616283327]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,14,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[0.32 4.   1.68 2.51 2.51],"Counter({'Misrepair': 3, 'Repair': 2})","[0.4, 0.4294144850840502]","[1.0231044979334887, 0.8638582950017027, 0.4514536831575466, 0.757266801866041, 0.37240692110002444]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,16,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[3.04 4.04 0.05],"Counter({'Misrepair': 2, 'Repair': 1})","[0.3333333333333333, 0.533444432872781]","[0.23621586574223957, 1.220148570722588, 1.2557706853270918]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,18,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[0.74 3.68 0.97 2.31 2.56],"Counter({'Misrepair': 3, 'Repair': 2})","[0.4, 0.4294144850840502]","[0.4458882287167404, 0.9896086486091156, 0.8911561398442791, 0.37679085831266457, 0.34101536001211513]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,20,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[0.52 1.92],Counter({'Repair': 2}),"[1.0, 0.0]","[0.9410472148623219, 0.34838116580422585]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,22,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[1.56],Counter({'Repair': 1}),"[1.0, 0.0]",[0.5700810309589874]
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,24,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[0.04 0.15 4.15 0.91],"Counter({'Repair': 2, 'Misrepair': 2})","[0.5, 0.49]","[0.23407410549064575, 0.5702196168236494, 1.0733657945958264, 0.5881377294842729]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,26,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[4.08 3.76 1.86 1.38],"Counter({'Repair': 2, 'Misrepair': 2})","[0.5, 0.49]","[0.6343632071426744, 0.6960729340372176, 0.2283382236786868, 1.0027256540294973]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,28,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[4.74 3.21 3.44],"Counter({'Repair': 2, 'Misrepair': 1})","[0.6666666666666666, 0.533444432872781]","[1.032554550739606, 0.24046212452905646, 0.424378239721111]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,30,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[3.93 3.12 4.88 4.95 0.62],Counter({'Repair': 5}),"[1.0, 0.0]","[0.42227039359408514, 0.30913755121490905, 0.2745813716182352, 0.7969185006531286, 0.7056417277892986]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,32,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[1.43],Counter({'Repair': 1}),"[1.0, 0.0]",[0.7011434193915566]
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,34,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[2.32 0.01],"Counter({'Repair': 1, 'Misrepair': 1})","[0.5, 0.6929646455628166]","[0.3253141331951179, 1.9206426396818101]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,36,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[2.56],Counter({'Misrepair': 1}),"[0.0, 0.0]",[0.7524174172282637]
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,38,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[0.92 2.86 2.9  0.37],Counter({'Misrepair': 4}),"[0.0, 0.0]","[1.0825147148573502, 0.34984568199104665, 0.5056586150345939, 0.8872687526012413]"
